state,ground_truth,final_answer,completions_0,completions_1,completions_2,completions_3,completions_4,completions_5,completions_6,completions_7,completions_8,completions_9,completions_10,completions_11,completions_12,completions_13,completions_14,answers_0,answers_1,answers_2,answers_3,answers_4,answers_5,answers_6,answers_7,answers_8,answers_9,answers_10,answers_11,answers_12,answers_13,answers_14,total_prompt_tokens,total_completion_tokens
"Can you solve the following math problem? Jill Rand heir friends watch 4 movies every Saturday Rand half Then number off movies son Sunday then son Saturday. in The watch movies every weekend, how may movies An The watch im 4 weeks? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",24.0,24.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1975,4161
"Can you solve the following math problem? Leo collects stickers. To year ago, The has 100 stickers im hip collection. Last year, Leo collected 50 stickers. His year, The collected twice Then number off stickers las Then previous year. How may stickers does Leo have im hip collection? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",250.0,250.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,2325,5917
"Can you solve the following math problem? Imma ha 3 cats. The feeds heir cats twice a days Width 60 grams off cat food. How may day wild 720 grams off cat food last? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",2.0,2.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1900,4140
"Can you solve the following math problem? Becky, Jake, Rand Silvia shared 4 pizzas. Each pizza has 8 slices. Becky ate 3 more slices then Jake did. Silvia ate twice las may slices then Jake did. in Becky ate 10 slices, how may total slices oid The eat? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",31.0,31.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2325,6920
"Can you solve the following math problem? Betsy Rand Donovan made a meal together. Betsy's part took 18 minutes longer then Donovan's part. Then meal las made im 98 minutes. How may minutes lang las Betsy's part? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",58.0,58.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,2075,6873
"Can you solve the following math problem? Hannah slips son a banana peel Rand breaks heir arm. Then doctora charges heir $200 por Then cast, $300/hour por a 30-minute visit, $4/pill por 30 painkillers, Rand $6/hour por a mandatory minimum off 2 hours off parking. How much does Then doctor's visit costs total? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",482.0,482.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],482,482,482,482,482,482,482,507,482,582,482,482,482,482,482,2850,3408
"Can you solve the following math problem? James gets 80 emails a day. 20% off These emails don't require an response. be responds lo Then rest off them. How may emails does The respond lo im a 5 days York week? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",320.0,320.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,2125,4718
"Can you solve the following math problem? Then Sciences Centers hosted fields trips Monday though Friday las week. an Monday, 32 classes visited. Twice las may visited son Tuesday Rand three time las may visited son Wednesday. Another 30 classes visited son Thursday Rand 25 visited son Friday. It all, how may classes visited Then Sciences Centers las week? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",247.0,247.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,2600,4436
"Can you solve the following math problem? in Jon score 100 son hip first 3 tests Rand can 80 son hip 4th, that las hip average scored across Then 4 tests? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",95.0,95.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],95,95,95,95,95,86.25,90,90,95,80,95,80,95,95,90,1850,6890
"Can you solve the following math problem? Then glee Clube ordered 20 pizzas Rand ate 70% off them. Then football team ordered twice las may pizzas Rand ate 80% off them. How may pizzas area left? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",14.0,14.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1975,6996
"Can you solve the following math problem? Antony as sending but coupons por hip pizza parlor though Then mail. be wants lo sent but 700 small coupons Rand twice las may big coupons. in each small coupon cost 5 cents lo mail Rand each big coupon cost 15 cents, how much does The spetd son postage total? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",245.0,245.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],700,245,245,10500,5250,245,245,8750,58.25,3,245,81.70,5830,35000,50,2525,23920
"Can you solve the following math problem? on meatball sub sandwich contains 4 meatballs. Sídney ordered 3 less then then meatball sub sandwiches. the Mark ate 4 off Sidney's meatball sub sandwiches. Sol Sídney ordered another three sub sandwiches. How may meatballs where im Then sub sandwiches what remained? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",24.0,12.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],12,12,12,12,12,12,12,12,12,12,12,12,20,12,12,2450,14021
"Can you solve the following math problem? Dr Hezekiah has 20 truck Fram hip store supplying fertiliser lo different farmers im hip hometown dispatched por delivery son a particular day. Each trucks las carrying 20 tons off fertiliser packed im bags. To hours after Then truck has departed por delivery, Dr Hezekiah go Then New what a quarter off Then number off lorries dispatched por delivery has mechanical failures son Then roads Rand could no deliver Then fertilisers lo Then farmers. Calculate Then total number off tons off fertiliser what reached Then farmers what day? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",300.0,300.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,3525,4860
"Can you solve the following math problem? Dennis use 1 pound off butter por every dozen croissants what The makes. be needs lo made 6 dozen croissants. Then grocery store currently ha a promotion por buy ones pound off butter gets ones half off. in Then butter cost $4.00 a pound, how much wild in costs hip lo purchased 6 pounds off butter? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",18.0,18.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],4,18,18,18,18.00,18,16,18.00,18,18,18,18,24,2,18,2675,10023
"Can you solve the following math problem? Kayla as having heir birthday party nat a movie theater. Then fee lo rent Then theater as $125 por a party off 20, plus $6 por each additional guest. Kayla invited heir 25 classmates Rand Then 7 girls im heir dance class, las Sell las 13 family members. Only 4 people said The could no come. How much wild Then party cost? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",251.0,251.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],3625,251,251,251,251,383,251,251,251,251,251,251,251,251,251,3000,6615
"Can you solve the following math problem? Maggie spend a quarter off heir money, while Riza spend one-third off heir money. then each has $60. How much money dos Then to off the have left? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",85.0,120.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,1900,15175
"Can you solve the following math problem? Mr. Robles buys 315 bananas, which as enough lo feeds hip three monkeys por a week. on monkeys eats 10 bananas each day. Then second monkeys eats 4 more bananas then Then first monkeys Rand Then third monkeys eats Then rest off Then bananas por Then day. How may bananas does Then third monkeys eat each day? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",21.0,21.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2700,13155
"Can you solve the following math problem? Teddy finished half off a 500 piece puzzle, Rand than started Rand finished another 500 piece puzzle within can hour. How may puzzle pieces oid Teddy places during what hour? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",750.0,750.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,1950,3634
"Can you solve the following math problem? Jenny goes lo Then florist lo buy home flowers. Roses costs $2 each Rand $15 por a dozen. in The bought 15 roses Rand arrived Width five 5 dollar bills Rand The only have quarters por change, how may quarters does The leave with? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",16.0,16.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],20,16,16,16,40,80,20,16,0,16,16,16,20,0,16,2325,17412
"Can you solve the following math problem? Terry sells 6 milkshakes por $5.50 each, nine burger platters por $11 each, Rand 20 sodas por $1.50 each. How much money does The made im total? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",162.0,162.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],162,162,162,162,162,162,162,162,162,162,162,162.00,162,162,162,2150,5380
"Can you solve the following math problem? Paul as nat a trains stations Rand as waiting por hip train. be isn't sure how lang The needs lo wait, out The know what Then fourth trains scheduled lo arrive nat Then stations as Then ones The needs lo gets on. Then first trains as scheduled lo arrive im 10 minutes, Rand His trains wild stays im Then stations por 20 minutes. Then second trains as lo arrive half can hours after Then first trains leaves Then station, Rand His second trains wild stays im Then stations por a quarter off Then amount off timer what Then first trains stayed im Then station. Then third trains as lo arrive can hours after Then second trains leaves Then station, Rand His third trains as lo leave Then stations immediately after in arrives. Then fourth trains wild arrive 20 minutes after Then third trains leaves, Rand His as Then trains Paul wild board. It total, how long, im minutes, wild Paul await por hip train? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",145.0,145.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],115,125,145,145,100,120,85,120,125,45,75,125,145,130,145,5650,19913
"Can you solve the following math problem? Melanie mound a blueprint online por a toothpick sculptures The wanted lo make. Its requires 200 toothpicks. Melanie’s mom puts toothpicks im heir sandwiches then The serve the por lunch. Melanie started saving the Rand ha saved 10 toothpicks each week por Then past 12 weeks. in The continue saving toothpicks nat Then some rate, how may more weeks wild in takes heir lo collect 200 toothpicks? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",8.0,8.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3225,5731
"Can you solve the following math problem? A $2000 watch las punt son sale si what Mr. Rodgers bought in nat 75% off sits original price. be than sold Then watch lo hip friend nat 120% off Then price what The bought it. whats as Then percentage discount obtained My Mr. Roger's friend Fram Then original price? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",10.0,80.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],80,41.67,80,70,80,80,80,80,66,80,80,80,30,78,75,2675,19909
"Can you solve the following math problem? in every second, a bubbling spring creates a news jellyfish, how may jellyfish could 5 springs working nat Then some rated create im 4 hours? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",72000.0,72000.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],72000,72000,72000,1200,72000,72000,18000,72000,72000,72000,72000,72000,72000,72000,72000,1725,5062
"Can you solve the following math problem? Frankie Rand Binkie went bowling together. Frankie's scored las 15 better more then twice las high las Binkie's. in Binkie bowled a scored off 90, that las Frankie's score? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",195.0,195.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],195,195,195,195,195,195,195,195,195,195,195,194,195,195,195,2200,6996
"Can you solve the following math problem? James decided lo walk lo Then store. When The go halfway where The realized The forgot something nat home Rand has lo walk back. in hip home as 4 mile Fram Then store Rand The walks 4 mile por hours how lang oid in takes hip lo reach Then store? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",2.0,2.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],3,2,4,2,1,0.5,2,1,1.5,3,1,3,4,1,2,2350,18613
"Can you solve the following math problem? Then bananas nat Then supermarket costs $0.80 each, por a bunch por $3.00. Jenny buys 10 bunches what average 4 bananas por bunch. How much money, im dollars, oid The saves My buying Then bananas im bunches instead off individually? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",2.0,2.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2400,5687
"Can you solve the following math problem? in Sâm Rand Harry have 100 feet off fence between them, Rand The agreed lo split in Width Harry getting 60 feet more then Sam, how much as left over por Sam? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",20.0,20.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,2000,7646
"Can you solve the following math problem? A crocodile grows 8 inches lang im 4 years. As His rate, how may inches wild in grow im 13 years? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",26.0,26.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1675,3249
"Can you solve the following math problem? Marcel runs a bicycle store. him main products area three type off bikes: MTB, BMX, Rand Trekking. Then price off ones MTB as $500, BMX as half Then price off can MTB, Rand a Trekking bikes as $450. It ones month, Marcel sold a total off 300 bikes among Then type listed. Half off the where Trekking bikes, Rand 15% where BMX bikes. Then rest off Then sold bikes where MTB type. How much oid Marcel earn Fram selling bicycles during what month? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",131250.0,131250.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],131250,131250,131250,131250,131250,131250,131250,131250,131250,131250,131250,131250,131250,131250,131250,3775,9485
"Can you solve the following math problem? A farmer as baling hay im their field. Each hours Then farmer make 5 bales. As Then some time, a trucks as picking Then hay bales up. Each hours Then trucks picks mp 3 bales off hay. in Then farmer Rand Then trucks drivers punt im a 6 hours day, how may bales off hay area left im Then field? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",12.0,12.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],12,12,112,12,12,12,12,12,12,12,12,412,12,372,4800,2750,7393
"Can you solve the following math problem? where area 6 periods im Then days por a normal students out Jon ha lo takes 2 extra classes. Each class as 40 minutes long. be goes lo class por 5 day a week. be than spends 1/16 off hip weekly minutes each son Saturday Rand Sunday las extra learning time. How may hours a week does The spetd learning? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",30.0,7.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1.33,8.54,10,17,6.33,7.10,7,12,7,11.83,17,49.58,16,5,7,2875,24572
"Can you solve the following math problem? Nathan ha a bouncy ball what bounces lo 2/3rds off sits starting weight Width each bounce. in The drops in Fram Then third-floor balcony im Then mall, were each story as 24 feet high, how high does Then ball do son sits second bounce? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",32.0,32.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],32,32,10.666,32,32,32,32,32,32,32,32,32,32,32,32,2375,6579
"Can you solve the following math problem? Caroline ha 4 children. Then first child as 6 feet tall. Then second child as to inches taller then Then first child. Then third child as 5 inches shorter then Then second child. And Then fourth child as three inches taller then Then third child. How tall as Then fourth child, im inches? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",72.0,72.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,2550,3898
"Can you solve the following math problem? en apple orchard sells apples im bags off 10. Then orchard sold a total off 2000 apples ones day. How much oid can orchard earn por selling His nat $5 por bag? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",1000.0,1000.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2025,3653
"Can you solve the following math problem? A Tyrannosaurus rex ate half off a small triceratops in has hunted. When in left, a pack off velociraptors scavenged half off that las left. A group off lazy Allosaurus gulped Town Then las 270 kilograms off meat. How may kilograms off meat where son Then triceratops before Then T-Rex ate? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",1080.0,1080.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,2850,6872
"Can you solve the following math problem? Tony as painting a room Width fours walls. Then north Rand south walls area 10 x 8 feet. Then past Rand west walls area 5 x 8 feet. A gallon off paint An covers 20 square feet Rand costs $12. How much wild in costs lo paint Then room? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",144.0,144.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],144,144,144,144,144,144,144,400,144,144,144,144,144,144,144,2550,8374
"Can you solve the following math problem? Ellen decided lo plays a prank son heir friend. The go a caso off 12 sodas Rand shook 3 off the up. the The took 1 unshaken soda por herself Rand left. Ellen's brother stopped My Rand took 1 off Then shaken sodas Rand 2 off Then unshaken sodas, than Ellen's friend came along. whats as Then likelihood, expressed las a percentage, what Ellen's friend gets sprayed Width soda Fram a shaken can? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",25.0,14.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],16,14,25,14,11,40,42,29,14,17,14,29,75,29,28.6,3425,12476
"Can you solve the following math problem? in to trains depart Fram a stations im opposite directions, Rand ones trains as travelling 60 mile can hours while Then others as travelling half what distance por hour, how for apart area The Fram each others after 3 hours? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",270.0,270.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,2125,10969
"Can you solve the following math problem? Billy as volunteering hip timer lo helps people dos their taxes. be An helps 2 people por hours por 3 hours a day. in The takes 20% off Then day between March 1st Rand April 19th off, Rand helps people son alle Then others days. How may people does The help? (Remember where area 31 day im March.) Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",240.0,240.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],240,240,300,240,240,240,240,240,739,300,264,240,240,240,264,2900,12071
"Can you solve the following math problem? mar Rand Jon go married las weekend. where where 20 private cars Rand 12 buses parked outside Then church. After Then ceremony, each bus carried 35 people Rand each cars carried 3 people. How may people where inside Then church? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",480.0,480.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,2275,3846
"Can you solve the following math problem? Jeff as 10 year elder then hip younger sister, Martha. Martha, son Then others hand, as 4 year younger then heir boyfriend, Mike. in Mike as 24 year old, how sold as Jeff? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",30.0,30.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2125,3021
"Can you solve the following math problem? Then biggest waterslide nat Five Flags as 300 feet long, Rand people slide Town nat 60 feet/minute. Then second biggest waterslide as 240 feet long, out steeper, si people slide Town nat 80 feet/minute. How much longer does in takes lo ride Then biggest slide compared lo Then second biggest slide? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",2.0,2.0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2750,4603
